skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci
K562_skew	[0.05,0.2)	Other cCREs	3774297	3771937	740105.343	736346.6073949999	3755576	-361262.57555983344	5988910.987097038	95858	125154	176304	0.025524180578425253	8.138102588596004e-5	0.02536467376768877	0.025683687389161734
K562_skew	[0.05,0.2)	PLS	295060	294298	48730.037	29936.119097	294818	83501.75398808917	1547417.6403407855	37972	102639	110059	0.1287981059501116	6.169317846318572e-4	0.12758891965223315	0.13000729224799004
K562_skew	[0.05,0.2)	dELS	9957325	9955022	1954904.564	1900065.875712	9943692	-258350.72857899545	23532229.703043405	469298	770144	1240070	0.047195548695595155	6.724787673079239e-5	0.0470637428572028	0.04732735453398751
K562_skew	[0.05,0.2)	non-cCRE	41993362	41976488	7893980.500999992	7620535.799336984	41519348	-5742193.914478938	50382712.80672434	549570	1124016	247622	0.013236479532385721	1.7736483802008303e-5	0.013201716024133786	0.013271243040637657
K562_skew	[0.05,0.2)	pELS	1536617	1535282	272108.023	216613.310731	1534927	84476.26301245096	4133176.118675195	91969	360384	267442	0.05991750747755431	1.915649228106328e-4	0.05954204022884547	0.06029297472626315
K562_skew	[0.2,0.5)	Other cCREs	800006	799374	164582.698	182677.100604	795045	-101674.94884848726	1244235.686094349	17969	30076	47626	0.022601236408002063	1.6668869108732887e-4	0.0222745265734709	0.022927946242533227
K562_skew	[0.2,0.5)	PLS	104471	104296	16583.508	9604.97434	104407	54296.33794560494	634757.9649529645	17053	37764	43670	0.1633319605007327	0.0011440562253718935	0.1610896102990038	0.16557431070246162
K562_skew	[0.2,0.5)	dELS	2312498	2311771	464811.034	489504.355922	2308840	-80218.48816109326	5552298.33386523	110026	199991	370698	0.04765423329464147	1.4020101320520826e-4	0.04737943930875926	0.04792902728052368
K562_skew	[0.2,0.5)	non-cCRE	6505091	6501311	1325961.677	1506377.022771	6437460	-1043411.1872843415	8178462.913572784	83401	220740	63971	0.012955575646295278	4.456967171918963e-5	0.012868219089725666	0.01304293220286489
K562_skew	[0.2,0.5)	pELS	396782	396440	69803.876	56986.087414	396291	57402.16302840331	1207425.9148693106	29833	102276	91491	0.07528053879598577	4.1912083776237557e-4	0.07445906195397152	0.07610201563800002
K562_skew	[0.5,1.0)	Other cCREs	185851	185684	38842.777	45499.592295	184551	-30215.955974817625	285015.33254885324	3595	7338	12336	0.019479710215604358	3.217076120395298e-4	0.01884916329600688	0.020110257135201835
K562_skew	[0.5,1.0)	PLS	28641	28597	4502.571	2637.613923	28621	19989.61500124773	193732.71712214287	5336	10537	12327	0.1864365326159114	0.0023020715945492464	0.18192447229059486	0.19094859294122793
K562_skew	[0.5,1.0)	dELS	576858	576675	117661.531	130179.350943	575917	-29348.65594935732	1409411.1501498283	27387	53381	105765	0.047553727360018894	2.8043523285346806e-4	0.047004074303626096	0.04810338041641169
K562_skew	[0.5,1.0)	non-cCRE	1270976	1270070	253564.361	284875.714089	1259669	-231647.09965537747	1644524.346431946	15508	50906	16945	0.012311170632920235	9.824976618190602e-5	0.012118601091203699	0.012503740174636771
K562_skew	[0.5,1.0)	pELS	105478	105369	18232.417	14751.974009	105333	21562.818986295595	360309.3503935287	9150	28652	27333	0.08686736350431488	8.677867727954735e-4	0.08516650142963576	0.088568225578994
K562_skew	[1.0,1.5)	Other cCREs	34527	34506	7603.594	9680.872094	34298	-6559.164991383676	52313.76881952174	593	1435	2515	0.01728963787975975	7.038357438095879e-4	0.01591011982189296	0.018669155937626542
K562_skew	[1.0,1.5)	PLS	5381	5370	881.8820000000001	571.639032	5377	4082.1300043101655	36666.7316896274	1041	1912	2219	0.19360238050957784	0.005388401480692485	0.18304111360742056	0.20416364741173512
K562_skew	[1.0,1.5)	dELS	113476	113447	24260.435	29013.397759	113292	-6913.078991728254	275518.45277405216	5471	10821	21925	0.048291141475126226	6.369218818256395e-4	0.04704277458674797	0.04953950836350448
K562_skew	[1.0,1.5)	non-cCRE	214668	214525	38608.692	39649.842886	212901	-43541.4759497327	284953.1032561265	2478	9439	3309	0.011639212591768006	2.3245061687323106e-4	0.011183609382696472	0.012094815800839539
K562_skew	[1.0,1.5)	pELS	21459	21431	3726.042	3120.873492	21434	4102.7839999975395	72211.41555162484	1871	5874	5867	0.08729121955771205	0.0019279678239768846	0.08351240262271735	0.09107003649270674
K562_skew	[1.5,Inf)	Other cCREs	11335	11330	2305.2509999999997	2794.744737	11270	-2554.4329939259924	17728.41409853156	190	454	697	0.01685891748003549	0.0012127207446014057	0.014481984820616736	0.019235850139454246
K562_skew	[1.5,Inf)	PLS	1520	1515	213.009	106.307843	1520	1113.4789987480035	9503.56604139788	293	525	638	0.19276315789473683	0.010117907615148239	0.1729320589690463	0.21259425682042737
K562_skew	[1.5,Inf)	dELS	38078	38064	8057.987	9772.604171	38020	-3865.2129888556674	91082.73481225426	1656	3803	7288	0.04355602314571278	0.0010467616955023905	0.0415043702225281	0.045607676068897464
K562_skew	[1.5,Inf)	non-cCRE	68402	68367	10498.375	8861.733853	67940	-19876.644980281813	104260.69438760327	752	3280	1135	0.0110685899322932	4.0138992120275615e-4	0.010281865686735798	0.011855314177850601
K562_skew	[1.5,Inf)	pELS	7584	7545	1258.67	1055.669386	7573	1594.4730086486086	23518.14813123304	660	2125	2172	0.08715172322725472	0.003241181198468635	0.08079900807825618	0.09350443837625325
SKNSH_skew	(-Inf,-1.5)	Other cCREs	17438	17431	14866.679	32501.089435	17319	-6569.273998489603	34867.76415406952	291	649	2504	0.016802355794214446	9.766615646587587e-4	0.01488809912748328	0.018716612460945612
SKNSH_skew	(-Inf,-1.5)	PLS	6182	6181	2108.5950000000003	2671.684857	6175	19409.44899485783	137319.5792863247	3207	2456	3989	0.5193522267206477	0.006358079960233363	0.5068903899985904	0.5318140634427051
SKNSH_skew	(-Inf,-1.5)	dELS	53044	53041	42045.835	89042.762151	52964	-1441.7200035710105	187469.42239850055	3688	5195	21465	0.06963220300581527	0.0011059666065724308	0.0674645084569333	0.07179989755469723
SKNSH_skew	(-Inf,-1.5)	non-cCRE	78388	78356	77768.396	175436.839522	77620	-36795.51196685621	154960.91288460582	749	2988	1900	0.00964957485184231	3.5088250644526225e-4	0.008961845139209595	0.010337304564475024
SKNSH_skew	(-Inf,-1.5)	pELS	7526	7526	4606.065	8658.309505	7522	6407.543999280896	60172.38939263826	1394	1977	3643	0.18532305237968624	0.004480131603636549	0.1765419944365586	0.19410411032281388
SKNSH_skew	[-0.05,0.05)	Other cCREs	17647528	17635234	4009740.9799999967	5087989.382529997	17574217	-213329.72164829067	27182141.338480905	535339	519702	640778	0.030461613168882573	4.0994062737615e-5	0.03038126480591685	0.030541961531848297
SKNSH_skew	[-0.05,0.05)	PLS	723426	718791	142947.585	122443.585025	722790	186770.84086882303	3312039.216223597	80971	230530	235105	0.11202562293335547	3.7098199570900086e-4	0.11129849822176582	0.11275274764494511
SKNSH_skew	[-0.05,0.05)	dELS	40890266	40879118	9471455.802999994	11914490.935529009	40838301	3005433.1987817152	90925892.67191188	2077104	2792864	3867874	0.050861665376333846	3.43816102187115e-5	0.05079427742030517	0.05092905333236252
SKNSH_skew	[-0.05,0.05)	non-cCRE	273884378	273753758	59538225.78699942	73169139.36130258	270813641	-24663957.17698816	302122585.7116434	3839602	5827622	917578	0.014178022886225291	7.184090858803106e-6	0.014163942068142038	0.014192103704308545
SKNSH_skew	[-0.05,0.05)	pELS	5741840	5735965	1221571.708	1322744.032026	5736263	429319.88297736173	13316735.848564511	301232	1203651	734407	0.05251363126132815	9.313394149337208e-5	0.05233108873600114	0.052696173786655164
SKNSH_skew	[-0.2,-0.05)	Other cCREs	4866354	4861963	2580140.426	5068083.731752	4835062	-680737.8329848853	8493988.329400983	129546	169122	252837	0.026793038021022276	7.343659974812343e-5	0.026649102285515956	0.026936973756528596
SKNSH_skew	[-0.2,-0.05)	PLS	429616	428537	127460.311	151883.636553	429241	185582.03696268267	2357134.330203519	62736	149218	180216	0.14615565614654705	5.391958829090935e-4	0.14509883221604522	0.14721248007704887
