skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-0.2,-0.05)	non-cCRE	44212274	44186224	20108115.43099999	38852006.15403698	43677507	-7731343.610536332	59986480.17665458	651121	1322863	368472	0.45507657388873035	0.6721840397251966	1.2333906540869623e-4	0.4548348293205293	0.4553183184569314
HepG2_skew	[-0.2,-0.05)	pELS	1989244	1987274	736103.468	1126155.892348	1986853	188073.7760062287	5754682.1046505375	134547	479353	416952	0.3704086442030641	0.4294814073219666	4.648826183101944e-4	0.3694974742711761	0.3713198141349521
HepG2_skew	[-0.5,-0.2)	Other cCREs	816552	816006	440674.888	878018.81569	811342	-157750.53380496005	1466481.7590692933	19356	32296	76067	0.5400387840285488	0.7843546118253725	9.804141060322073e-4	0.5381171723807257	0.5419603956763719
HepG2_skew	[-0.5,-0.2)	PLS	145494	145336	38138.505	40995.736153	145382	175031.83092714587	1264248.6377723897	37558	53674	77034	0.26241609098915614	0.21321483988529683	0.0012112174321982348	0.2600421048220476	0.2647900771562647
HepG2_skew	[-0.5,-0.2)	dELS	2549562	2548981	1339908.153	2553660.241157	2545224	-104108.42022367191	7268760.884721668	144080	240324	599522	0.5256642371991003	0.725513124462883	5.335060361672719e-4	0.5246185653682124	0.5267099090299882
HepG2_skew	[-0.5,-0.2)	non-cCRE	5198450	5195580	3095622.038	6356530.14576	5143990	-1386773.8141669442	8074681.761407025	72428	198562	85790	0.595818376004219	0.8684502055220349	4.0884194242015245e-4	0.5950170457970756	0.5966197062113625
HepG2_skew	[-0.5,-0.2)	pELS	432363	431976	173827.49	275999.236208	431749	115213.27901510918	1698127.7403200911	43562	114157	136872	0.40240080467433376	0.476997313172013	0.0010508195814756182	0.40034119829464154	0.40446041105402597
HepG2_skew	[-1.0,-0.5)	Other cCREs	198416	198341	123402.297	254846.306353	197208	-35582.48696146567	418986.6620866331	5812	8107	30790	0.622172405100307	0.8977957166159503	0.0021275634226086207	0.6180023807919941	0.62634242940862
HepG2_skew	[-1.0,-0.5)	PLS	42560	42538	12339.965	14568.731173	42539	89107.824981277	589013.5641234501	16384	16224	26207	0.2900927406083972	0.2583397255833345	0.0024643765269035593	0.2852625626156662	0.2949229186011282
HepG2_skew	[-1.0,-0.5)	dELS	607068	606978	365289.353	724778.3200310001	605985	24884.189884230847	2156107.4523736625	44767	60079	206261	0.6018164628701534	0.8318950696392338	0.0011707058810601625	0.5995218793432755	0.6041110463970314
HepG2_skew	[-1.0,-0.5)	non-cCRE	911804	911429	672152.143	1461963.019157	903155	-295266.67158789205	1552838.0391167442	11886	39111	21118	0.7374706565185001	1.0601721002410207	0.001078516426461095	0.7353567643226363	0.7395845487143639
HepG2_skew	[-1.0,-0.5)	pELS	98380	98305	45115.687	75949.156853	98220	51529.66399284254	557783.6095665351	14201	26646	40761	0.4589358323584761	0.5619705351484224	0.002390941603462221	0.45424958681569017	0.4636220779012621
HepG2_skew	[-1.5,-1.0)	Other cCREs	36763	36759	26085.195	56710.232265	36489	-8964.862981725835	69128.18781115487	779	1519	5706	0.7096274381784052	1.0392149236293011	0.005317051211633166	0.6992060178036043	0.7200488585532062
HepG2_skew	[-1.5,-1.0)	PLS	8533	8531	2819.719	3792.206009	8524	24357.590978622433	165390.86661443842	4181	3274	5615	0.3305261985699215	0.33531242753747004	0.006269383750432164	0.31823820641907447	0.3428141907207685
HepG2_skew	[-1.5,-1.0)	dELS	115633	115626	78394.638	164403.703694	115438	7485.477988370454	421534.4915281907	8882	11375	45888	0.6780018162005086	0.9621794313480526	0.0028846975351204908	0.6723478090316725	0.6836558233693447
HepG2_skew	[-1.5,-1.0)	non-cCRE	196483	196409	182303.25	418704.821222	194869	-71677.06684605747	320880.3789169809	1945	8970	4083	0.9281817533819733	1.2702856858670104	0.002543138484182378	0.9231972019529758	0.9331663048109707
HepG2_skew	[-1.5,-1.0)	pELS	17814	17805	9429.464	17129.093593999998	17791	11886.3620190227	118719.3849749082	2948	4770	8103	0.5295964055040718	0.6816043222742052	0.0061872145906357555	0.5174694649064258	0.5417233461017179
HepG2_skew	[0.05,0.2)	Other cCREs	4263211	4259804	845875.591	853715.143595	4241014	-467398.3634650633	6901308.528366686	107036	141902	188588	0.19857148145783235	0.16098124123606433	1.9439846319930598e-4	0.19819046046996172	0.19895250244570298
HepG2_skew	[0.05,0.2)	PLS	314062	313005	53372.794	35291.992652	313824	86611.98394107062	1641324.653220586	40252	108391	114779	0.1705173847063146	0.0836762578262614	5.170416003624503e-4	0.16950398316960422	0.171530786243025
HepG2_skew	[0.05,0.2)	dELS	11414484	11411880	2291858.632	2295891.87277	11398594	-619164.1525724578	27137024.708709385	520968	883119	1343508	0.20083094389355655	0.16085131470766947	1.1872268483851819e-4	0.20059824743127305	0.20106364035584004
HepG2_skew	[0.05,0.2)	non-cCRE	47328095	47304594	8853903.960999988	8415987.702578986	46768889	-6985421.927460616	58240695.2197366	607753	1279122	267820	0.18716795161586183	0.1428787397958387	5.495815515313961e-5	0.1870602336317617	0.18727566959996197
HepG2_skew	[0.05,0.2)	pELS	1735803	1734318	314966.984	263972.602156	1733949	34988.06602674548	4606757.220046044	99242	403070	285857	0.18160855390995193	0.11922382336238473	2.6219062374615887e-4	0.18109466028740945	0.1821224475324944
HepG2_skew	[0.2,0.5)	Other cCREs	690805	690291	162766.611	208748.877027	686221	-103630.97989992936	1091892.6818380884	14811	26635	37722	0.23579419549146666	0.2468085224085276	5.979487611666712e-4	0.23462221591958	0.23696617506335332
