skew_type	skew_bin	ccre_class	pleio_bin	pleio_set	COMMON	SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	pval	log2odds	log2lci	log2uci
SKNSH_skew	[1.5,Inf)	Other cCREs	1	all	7	250	271223115	11777645	1.3624398976257421	0.6808902266038195	3.1907473438167973	0.5311947867001743	0.44619258856127114	-0.5545058697774831	1.673894374755209
SKNSH_skew	[1.5,Inf)	PLS	0	all	10	152	271223115	11777645	0.6039951793602967	0.3282039576549826	1.235424117667598	0.11342410438369767	-0.7273910598084444	-1.6073354591594673	0.3050064000421143
SKNSH_skew	[1.5,Inf)	PLS	1	all	1	100	271223115	11777645	2.19292257138927	0.5915613066215191	18.353126248251602	0.45147806913048155	1.1328548736417945	-0.7574004044700947	4.1979539257321195
SKNSH_skew	[1.5,Inf)	PLS	2	all	3	101	271223115	11777645	1.107317836820227	0.4194961317972676	4.141695509351047	1	0.14706938272448564	-1.2532705873512957	2.0502214928880527
SKNSH_skew	[1.5,Inf)	PLS	4	all	3	67	271223115	11777645	0.7382122912843366	0.27545842397805803	2.786886279504882	0.5452915184560533	-0.43789233613432915	-1.8600935112890096	1.4786541336431316
SKNSH_skew	[1.5,Inf)	PLS	6	all	10	324	271223115	11777645	1.2829916840549704	0.7075505545688935	2.5957903104723803	0.4949692635983521	0.3595118193663827	-0.49909486253270247	1.3761738462568933
SKNSH_skew	[1.5,Inf)	PLS	3	all	0	76	271223115	11777645	3.34366409804909	0.5825306275228028	133.7067662646207	0.3840056598595312	1.741429922652209	-0.779594191019739	7.062928664999663
SKNSH_skew	[1.5,Inf)	PLS	5	all	0	87	271223115	11777645	3.821330550392953	0.6682270751255673	152.55510017752258	0.1885068114983549	1.9340750582153259	-0.5815896561264219	7.253186602256505
SKNSH_skew	[1.5,Inf)	dELS	0	all	630	13396	271223115	11777645	0.9219673736932144	0.8511311547200008	1.0001298525363072	0.04690842778936248	-0.11721239699179307	-0.2325466343218558	1.8732544809810733e-4
SKNSH_skew	[1.5,Inf)	dELS	1	all	100	2661	271223115	11777645	1.1445097303526208	0.9381173753600264	1.4103079411047483	0.19816713858147306	0.1947297283997581	-0.09215965375028443	0.49601020985703004
SKNSH_skew	[1.5,Inf)	dELS	2	all	46	860	271223115	11777645	0.7954949975255164	0.5929116100169064	1.0910416947522041	0.1338470544636565	-0.33007523669788	-0.7541110479491165	0.1257062360912499
SKNSH_skew	[1.5,Inf)	dELS	3	all	14	329	271223115	11777645	0.9553141145219185	0.5707982884694598	1.7263371355388624	0.7877140663205812	-0.06595291466905981	-0.8089470859677375	0.7877142352434655
SKNSH_skew	[1.5,Inf)	dELS	4	all	4	221	271223115	11777645	1.92805300219766	0.8138981074015358	5.997241975940914	0.18056413287410725	0.9471447118151178	-0.2970799013143265	2.584299183650321
SKNSH_skew	[1.5,Inf)	dELS	5	all	3	125	271223115	11777645	1.367867876139957	0.5212061791594375	5.0979267177073835	0.8240142043862956	0.45192888545538995	-0.9400739070100307	2.349910634882275
SKNSH_skew	[1.5,Inf)	dELS	6	all	4	211	271223115	11777645	1.8412026916275048	0.7767039535607858	5.728461299417832	0.2305794414279053	0.8806484567309298	-0.36456328533603205	2.5181476740940694
SKNSH_skew	[1.5,Inf)	non-cCRE	0	all	1679	35780	271223115	11777645	0.9248661323625588	0.8806566726250495	0.9718220877816319	0.0019870061254465736	-0.11268353374824067	-0.18334840631971433	-0.041235872176047274
SKNSH_skew	[1.5,Inf)	pELS	0	all	65	1451	271223115	11777645	0.9553139299664143	0.7463397941127652	1.2419836039503478	0.6996376604426503	-0.06595319338088074	-0.42209548361492094	0.3126461279419208
SKNSH_skew	[1.5,Inf)	pELS	1	all	24	552	271223115	11777645	0.9605285720504846	0.6437514259329516	1.4973548176654996	0.8345756897302209	-0.0580995656998851	-0.6354243720783271	0.5824161272291402
SKNSH_skew	[1.5,Inf)	pELS	2	all	9	350	271223115	11777645	1.5241990151119091	0.8189986259858214	3.2062353393723972	0.23357033843884575	0.6080512882443906	-0.2880670633936112	1.6808803239592722
SKNSH_skew	[1.5,Inf)	pELS	3	all	9	258	271223115	11777645	1.124687808677864	0.6017956834396678	2.373297688544209	0.8783221440179863	0.1695245931070687	-0.7326543363425982	1.2468930726559062
SKNSH_skew	[1.5,Inf)	pELS	4	all	2	200	271223115	11777645	2.9094228457360165	0.9813828783643973	14.227746559128377	0.052404688230085414	1.5407329881239769	-0.02711199315133573	3.8306352756968387
SKNSH_skew	[1.5,Inf)	pELS	5	all	3	165	271223115	11777645	1.8021199107904236	0.6907545483730362	6.692202604506273	0.33343093684778985	0.8496950094573009	-0.5337549381845653	2.742481123214254
SKNSH_skew	[1.5,Inf)	pELS	6	all	4	242	271223115	11777645	2.1104171415247155	0.8920353723438035	6.558295518852746	0.10912453015735432	1.0775281878087422	-0.1648271756687026	2.7133209114866332
mean_skew	(-Inf,-1.5)	Other cCREs	0	all	332	4964	271223115	11777645	0.6474554901757914	0.5793649081545096	0.7255922297932942	5.258426327550153e-13	-0.6271470778562478	-0.7874557909567381	-0.46276908844030934
mean_skew	(-Inf,-1.5)	Other cCREs	1	all	19	438	271223115	11777645	0.9531413158704852	0.6096221486774409	1.5760206901348834	0.8146441097550791	-0.06923796617590255	-0.7140127753785852	0.6562864747429294
mean_skew	(-Inf,-1.5)	Other cCREs	2	all	2	87	271223115	11777645	1.273780055306041	0.42184272296977054	6.29592884132834	1	0.34911618770957287	-1.2452228805159553	2.6544192351206743
mean_skew	(-Inf,-1.5)	PLS	0	all	9	289	271223115	11777645	1.259305225630774	0.6749821570131036	2.6540483598775797	0.5637755082316737	0.332628000399803	-0.5670787295075215	1.4081946585453051
mean_skew	(-Inf,-1.5)	PLS	1	all	4	181	271223115	11777645	1.5806514711166106	0.6650603519511169	4.926424248754818	0.45974806151685826	0.6605192928557754	-0.5884428286948328	2.300540873719837
mean_skew	(-Inf,-1.5)	PLS	2	all	7	154	271223115	11777645	0.8413448982481827	0.4165094229708777	1.9834135693901314	0.5561441103873256	-0.24923075934210132	-1.2635789598737877	0.9879855309699322
mean_skew	(-Inf,-1.5)	PLS	3	all	1	130	271223115	11777645	2.844286021175173	0.7718426784319941	23.731834315539874	0.18587140668105673	1.5080665495504106	-0.37362127611849194	4.568751710617583
mean_skew	(-Inf,-1.5)	PLS	4	all	1	138	271223115	11777645	3.017982965383845	0.819909363074118	25.166330460037567	0.13506416117503875	1.5935846627812271	-0.28646365914534905	4.653422965218104
mean_skew	(-Inf,-1.5)	PLS	6	all	7	1165	271223115	11777645	6.329978656647947	3.2014123508595147	14.694990177504277	5.133364532573832e-13	2.6622006351986287	1.6787085120057417	3.8772524895438005
