skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-1.5,-1.0)	PLS	non-CpG transversion	3458	3458	247.572	27.846172	3455	9841.21698895155	65195.375537356165	1697	1347	2279	0.07159398496240602	0.002927829318740878	9.201537136689383e-4	0.0697904836836149	0.07339748624119713
HepG2_skew	[-1.5,-1.0)	dELS	CpG transition	32119	32119	69348.79	162760.194644	32078	-23457.30599665015	118946.63928818626	1028	3460	11307	2.1591204582957126	0.40562312089628544	0.0035536965724796005	2.1521552130136525	2.1660857035777727
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG transition	44599	44599	6793.552	1425.142538	44521	22612.39297914761	171440.05205358827	4707	4189	18604	0.1523252090854055	0.008751811945993662	4.4298235546152927e-4	0.1514569636687009	0.1531934545021101
HepG2_skew	[-1.5,-1.0)	dELS	non-CpG transversion	38908	38908	2252.296	218.366512	38832	8328.343005842762	131146.66943238364	3147	3726	15975	0.05788773517014495	0.002261449035577742	2.410870866190778e-4	0.05741520448037156	0.05836026585991834
HepG2_skew	[-1.5,-1.0)	non-cCRE	CpG transition	71843	71843	167940.163	415975.761493	71565	-63165.75992391877	187245.3944081841	328	3498	1262	2.337599529529669	0.3256996669784267	0.002129199853704497	2.333426297816408	2.3417727612429298
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG transition	64642	64642	10880.958	2390.9989020000003	63940	1135.7240338319675	58907.3065919874	888	2738	1420	0.16832644410754619	0.00865466087121862	3.6590440261868683e-4	0.16760927147841356	0.1690436167366788
HepG2_skew	[-1.5,-1.0)	non-cCRE	non-CpG transversion	59924	59924	3482.129	338.060827	59294	-9621.453955661857	74638.72425638439	729	2726	1401	0.058109088178359254	0.0022648646745085876	1.9441095397613087e-4	0.05772804270856604	0.05849013364815247
HepG2_skew	[-1.5,-1.0)	pELS	CpG transition	4806	4806	7999.981	16874.965465	4803	-1023.785991765209	26885.5489668645	438	1209	1852	1.6645819808572617	0.7405496868261279	0.012413241882678994	1.640252026767211	1.6889119349473125
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG transition	6587	6587	1028.215	214.967907	6579	7453.477010156145	48744.81684770235	1356	1780	3116	0.15609761651738271	0.008269966023774576	0.0011204901186231294	0.15390145588488138	0.15829377714988405
HepG2_skew	[-1.5,-1.0)	pELS	non-CpG transversion	6412	6412	401.268	39.160222	6400	5461.2150007321015	43079.96689783286	1154	1781	3135	0.06258078602620087	0.0021913204106751567	5.84596465300565e-4	0.06143497695421177	0.06372659509818998
HepG2_skew	[0.05,0.2)	Other cCREs	CpG transition	175136	175136	349695.038	748872.175778	173215	-139293.9179180214	484941.9630821015	1744	9135	8520	1.9967056344783483	0.28911481459605415	0.0012848352991917267	1.9941873572919324	1.999223911664764
HepG2_skew	[0.05,0.2)	Other cCREs	non-CpG transition	2432787	2432787	398963.324	94558.03586	2423722	-298183.3726938032	3966015.556403638	59592	77298	106347	0.1639943505123959	0.011974051421848628	7.015659718490886e-5	0.16385684358191346	0.1641318574428783
HepG2_skew	[0.05,0.2)	Other cCREs	non-CpG transversion	1651881	1651881	97217.229	10284.931957	1642003	-29397.756853911673	2448688.4937894084	45698	55282	73655	0.058852440944595893	0.0027625861009760062	4.089484178030398e-5	0.058772287054706496	0.05893259483448529
HepG2_skew	[0.05,0.2)	PLS	CpG transition	27571	27571	21285.469	29527.538747	27554	-2229.5919947759257	147539.94282497856	2995	10233	13592	0.772023829385949	0.47496008194936856	0.004150517948852616	0.7638888142061979	0.7801588445657002
HepG2_skew	[0.05,0.2)	PLS	non-CpG transition	146873	146873	21959.854	4487.091954	146779	45365.30197022484	763940.222960041	19015	48694	48060	0.14951593553614348	0.00819587013830327	2.362253773192185e-4	0.14905293379659781	0.14997893727568914
HepG2_skew	[0.05,0.2)	PLS	non-CpG transversion	138561	138561	10127.471	1277.361951	138434	43531.11896559399	726256.1322188275	18174	48910	53067	0.07309034288147458	0.0038765994737861567	1.6726495642615253e-4	0.07276250356687931	0.07341818219606984
HepG2_skew	[0.05,0.2)	dELS	CpG transition	533923	533923	991857.762	2019999.894708	533053	-450224.4849330344	1945353.8619064817	10934	54420	87196	1.8576794069556846	0.3323447162908581	7.889601623445829e-4	1.856133045037489	1.85922576887388
HepG2_skew	[0.05,0.2)	dELS	non-CpG transition	6560393	6560393	1056651.137	251541.129547	6552612	-545749.9383071959	15598185.872033045	288674	493150	740911	0.1610652192635411	0.012400384379626244	4.347630686272586e-5	0.16098000570209015	0.16115043282499203
HepG2_skew	[0.05,0.2)	dELS	non-CpG transversion	4317564	4317564	243349.733	24350.848515	4310530	377605.0386695024	9590514.889811205	221351	335338	515117	0.05636273903525229	0.002463193014119928	2.3885252137374096e-5	0.05631592394106304	0.05640955412944154
HepG2_skew	[0.05,0.2)	non-cCRE	CpG transition	1586824	1586824	3280694.123	7227744.688653	1573317	-1299259.732104852	3993528.8309434415	9094	66011	17276	2.0674593546606306	0.2804616105743974	4.2040931649358455e-4	2.066635352400303	2.068283356920958
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG transition	26701674	26701674	4409550.552999989	1050721.0308650003	26430596	-4163585.4354501497	33518269.524043266	335485	705527	141607	0.1651413522987356	0.012078714675029712	2.126870837869093e-5	0.16509966563031336	0.16518303896715786
HepG2_skew	[0.05,0.2)	non-cCRE	non-CpG transversion	19016096	19016096	1163659.285000001	137521.98306099986	18751049	-1518786.890914007	20714488.83151599	263131	506515	108455	0.061193385067050625	0.003487242377951204	1.3541924440774682e-5	0.061166842895146706	0.061219927238954544
HepG2_skew	[0.05,0.2)	pELS	CpG transition	96368	96368	126550.7	226697.599906	96254	-56216.23499228933	341189.72697469924	3691	25722	23650	1.313202515357795	0.6279214082176499	0.0025526203201198723	1.3081993795303601	1.31820565118523
HepG2_skew	[0.05,0.2)	pELS	non-CpG transition	941328	941328	145899.157	32585.973903	940537	367.3109726258249	2481048.594038974	52167	209776	141054	0.15499290045552666	0.010594235994031557	1.0608752876230715e-4	0.15478496889915253	0.1552008320119008
