skew_type	skew_bin	ccre_class	pleio_bin	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	pleio_set	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	mutrate_mean	mutrate_var	mutrate_se	mutrate_lci	mutrate_uci
HepG2_skew	[-1.0,-0.5)	Other cCREs	4	1586	1586	560.3049999999998	737.331491	1582	1804.2099979904015	13962.405511896195	360	127	1261	all	1.1404614399433637	7.529901062383206	0.06899083406379948	1.0052394051783167	1.2756834747084107	0.22756005056890014	0.01054088644040046	0.20689991314571524	0.24822018799208503	0.35328184110970984	0.3403065672031698	0.014648176814432102	0.3245714145534229	0.38199226766599675
HepG2_skew	[-1.0,-0.5)	Other cCREs	5	1171	1171	387.169	479.72453700000005	1169	1942.3059997172097	13852.5095545294	362	92	957	all	1.6615106926580065	9.097043979097139	0.08821509203572711	1.4886091122679814	1.8344122730480317	0.30966638152266895	0.013522882855230066	0.283161531126418	0.3361712319189199	0.3306310845431255	0.3006106244688228	0.01602225780166586	0.29922745925186045	0.36203470983439057
HepG2_skew	[-1.0,-0.5)	Other cCREs	6	1434	1434	410.19100000000003	368.53662499999996	1434	2863.635996301658	18890.097347196373	526	159	1221	all	1.9969567617166373	9.191584146047884	0.08006092583290352	1.8400373470841465	2.153876176349128	0.3668061366806137	0.01272659047594048	0.34186201934777033	0.39175025401345703	0.2860467224546723	0.1752985581783639	0.011056421743499488	0.26437613583741326	0.3077173090719313
HepG2_skew	[-1.0,-0.5)	PLS	0	6392	6378	3799.541	7121.214189	6384	4020.600985658123	39553.81194767113	1010	1232	1937	all	0.6297933874777761	5.800041365066115	0.03014179461724951	0.5707154700279671	0.6888713049275852	0.15820802005012533	0.004567412124534218	0.14925589228603825	0.1671601478142124	0.5957260896832863	0.7617576425401721	0.010928640817270692	0.5743059536814358	0.6171462256851369
HepG2_skew	[-1.0,-0.5)	PLS	1	4552	4548	2016.3030000000003	3149.6045509999994	4552	5982.094999183902	45836.55088428592	1178	1336	2312	all	1.3141684971845127	8.34433533051932	0.042814881623413556	1.230251329202622	1.3980856651664033	0.2587873462214411	0.006491451314668953	0.24606410164468998	0.2715105907981923	0.44333839050131935	0.4960853363133973	0.0104440265454602	0.42286809847221735	0.46380868253042135
HepG2_skew	[-1.0,-0.5)	PLS	2	3325	3325	1049.1290000000004	1237.2682089999998	3325	6251.36998775555	41140.24928887038	1141	1167	1898	all	1.8801112745129474	8.840847801967298	0.051564538149552266	1.779044779739825	1.9811777692860697	0.3431578947368421	0.008233446441542601	0.3270203397114186	0.35929544976226563	0.3155275187969926	0.2726351199554843	0.009055138033108158	0.2977794482521006	0.33327558934188456
HepG2_skew	[-1.0,-0.5)	PLS	3	3246	3245	898.4839999999998	902.7784319999996	3246	6532.002996248077	43287.342319293486	1179	1317	2090	all	2.0123237819618227	9.289009967980771	0.05349466309512902	1.9074742422953699	2.1171733216282758	0.3632162661737523	0.00844120344725072	0.34667150741714087	0.37976102493036373	0.27688258859784276	0.20160414804755103	0.007882107999575042	0.2614336569186757	0.2923315202770098
HepG2_skew	[-1.0,-0.5)	PLS	4	3010	3009	723.4100000000001	577.4506420000001	3007	6851.918988658815	42093.77138181064	1267	1331	2098	all	2.2786561319118106	8.809249555203014	0.05412560235044172	2.172569951304945	2.3847423125186764	0.4213501829065514	0.009004566078742164	0.40370123339221675	0.43899913242088606	0.24041542040545033	0.13415283335255762	0.006677114611784232	0.22732827576635323	0.25350256504454743
HepG2_skew	[-1.0,-0.5)	PLS	5	3448	3447	703.1709999999999	444.47627700000004	3448	8429.855993727455	54497.01513222705	1492	1584	2405	all	2.4448538264870807	9.830939787997513	0.05339663504913062	2.3401964217907847	2.5495112311833767	0.43271461716937354	0.0084375809226563	0.4161769585609672	0.4492522757777799	0.2039950681752248	0.08735718540805544	0.005034179244304048	0.1941280768563889	0.21386205949406073
HepG2_skew	[-1.0,-0.5)	PLS	6	18587	18586	3149.927	1135.9388729999998	18577	51039.98103004508	322604.8231692915	9117	8257	13467	all	2.7474824261207447	9.817687998476876	0.022988827558659174	2.7024243241057726	2.7925405281357167	0.4907681541691339	0.003667821348234719	0.48357922432659384	0.49795708401167393	0.1694784784246207	0.03239677362880654	0.0013202552837416083	0.16689077806848712	0.17206617878075425
HepG2_skew	[-1.0,-0.5)	dELS	0	401244	401186	264269.904	546905.4985360001	400441	-57466.78802371523	1090625.2254541751	18748	30320	100434	all	-0.14350875166058227	2.7029723265481684	0.0025980740854619857	-0.14860097686808776	-0.13841652645307678	0.046818382733036824	3.3383107751246594e-4	0.04616407382111239	0.047472691644961255	0.6587216503068402	0.9293098975452471	0.0015219745721591937	0.6557385801454081	0.6617047204682722
HepG2_skew	[-1.0,-0.5)	dELS	1	113600	113588	62039.317	117004.82543500002	113460	9191.02897692402	396885.53438558377	8888	13461	47692	all	0.08100677751563565	3.491490307036994	0.005547330367184572	0.07013400999595389	0.09187954503531741	0.0783359774369822	7.977109641133537e-4	0.07677246394732003	0.07989949092664438	0.5461784431454028	0.731776416862281	0.0025381832760674344	0.54120360392431055	0.551153282366495
HepG2_skew	[-1.0,-0.5)	dELS	2	39524	39512	19033.359000000008	32857.21725499999	39460	14028.058982031067	190621.18635873077	4721	6212	21156	all	0.3555007344660686	4.704483161952543	0.010918863047366703	0.33409976289322985	0.3769017060389074	0.11964014191586417	0.001633766682295801	0.1164379592185644	0.12284232461316394	0.4817108473375179	0.5995454876725674	0.003895350693782307	0.4740759599777046	0.4893457346973312
HepG2_skew	[-1.0,-0.5)	dELS	3	18903	18900	8344.336000000001	13412.004625999996	18855	12434.004990762096	120704.07569432334	3091	3443	11801	all	0.6594539904938794	5.9671380866311905	0.01778974716058997	0.6245860860591231	0.6943218949286357	0.16393529567753912	0.0026961429231074094	0.1586508555482486	0.16921973580682964	0.4414992592592593	0.5147355131482949	0.005218685968264379	0.4312706347614611	0.4517278837570575
