skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean
mean_skew	[-1.0,-0.5)	non-cCRE	LOW_FREQ	31789	31758	41376.601	98385.995313	31456	-18744.63998251618	66788.98951277114	248	1288	629	-0.5959003046323811
mean_skew	[-1.0,-0.5)	non-cCRE	RARE	85544	85482	120939.423	290774.140807	84681	-52201.2489396684	185233.10674413425	694	3809	1791	-0.6164458253878485
mean_skew	[-1.0,-0.5)	non-cCRE	SINGLETON	383870	383680	114348.225	172003.348867	380585	-55174.05086683085	523529.2047661839	5934	17025	10793	-0.14497169059955292
mean_skew	[-1.0,-0.5)	non-cCRE	ULTRARARE	387542	387359	397870.438	886140.87864	384255	-174763.62973588958	730950.3874602882	4143	17642	9537	-0.4548115957785574
mean_skew	[-1.0,-0.5)	pELS	COMMON	1977	1976	1277.84	2289.18997	1974	-429.05499725206744	6140.456842722478	110	612	703	-0.217353088780176
mean_skew	[-1.0,-0.5)	pELS	LOW_FREQ	2777	2776	2155.287	4222.777545	2770	29.05399858800216	11938.028908472192	245	717	1098	0.010488808154513415
mean_skew	[-1.0,-0.5)	pELS	RARE	7289	7277	5855.798	11462.062706	7277	1039.4029975536996	34458.56529192659	775	1961	2952	0.14283399719028442
mean_skew	[-1.0,-0.5)	pELS	SINGLETON	52577	52550	12823.514	13832.447568	52508	39867.394012418	317458.1641759424	8821	15018	23397	0.7592632363148092
mean_skew	[-1.0,-0.5)	pELS	ULTRARARE	42267	42222	26227.238	46885.386348	42182	15975.44300229335	224281.7504101211	5490	11508	18017	0.37872654218134155
mean_skew	[-1.5,-1.0)	PLS	COMMON	122	122	78.955	157.150267	121	51.381000341847574	998.9672198473362	26	58	57	0.42463636646155023
mean_skew	[-1.5,-1.0)	PLS	LOW_FREQ	238	237	101.593	153.684217	237	402.4080002838746	2685.342603455263	80	78	170	1.6979240518306946
mean_skew	[-1.5,-1.0)	PLS	RARE	618	618	299.265	493.372767	617	1269.4239975570244	8316.198148596724	232	268	387	2.0574132861540106
mean_skew	[-1.5,-1.0)	PLS	SINGLETON	6821	6819	1460.81	1151.693084	6815	20653.23398633349	134750.4517745264	3480	2734	4719	3.030555243776007
mean_skew	[-1.5,-1.0)	PLS	ULTRARARE	4689	4688	1793.777	2518.751459	4681	12291.100991376328	82948.92508241587	2168	1864	3134	2.6257425745302987
mean_skew	[-1.5,-1.0)	dELS	COMMON	2729	2729	2588.224	5528.700372	2725	-1238.6130028106274	7914.192254135177	89	321	1012	-0.4545368817653679
mean_skew	[-1.5,-1.0)	dELS	LOW_FREQ	3736	3736	4215.329	9585.489637	3727	-1092.7509973661515	11754.121820570766	164	384	1487	-0.29319855040680215
mean_skew	[-1.5,-1.0)	dELS	RARE	10041	10038	12175.474	27802.080266	10012	-2724.245999797598	34757.143928577396	553	1047	3982	-0.27209808228102256
