skew_type	skew_bin	ccre_class	n_COMMON	n_SINGLETON	n_MR_COMMON	n_MR_SINGLETON	sum_MR_COMMON	sum_MR_SINGLETON	sum_MR_sq_COMMON	sum_MR_sq_SINGLETON	n_phyloP_COMMON	n_phyloP_SINGLETON	sum_phyloP_COMMON	sum_phyloP_SINGLETON	sum_phyloP_sq_COMMON	sum_phyloP_sq_SINGLETON	n_conserved_COMMON	n_conserved_SINGLETON	n_tf_chip_peak_COMMON	n_tf_chip_peak_SINGLETON	n_tf_footprint_COMMON	n_tf_footprint_SINGLETON	gw_SINGLETON	gw_COMMON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[1.5,Inf)	non-cCRE	1303	24515	1303	24505	188.932	2868.253	139.210366	704.571501	1293	24311	-1062.253000258701	-4170.178989122622	3312.195272628817	29851.04680214326	4	270	65	916	16	288	271223115	11777645	0.816386241666892	0.7720995744325908	0.8638052720161686	-0.2926762256551433	-0.37314117708782185	-0.21122197319265712
HepG2_skew	[1.5,Inf)	pELS	72	2141	72	2139	17.787	286.988	24.395533	118.690542	72	2139	-42.78600007854402	320.9080022434937	249.8962976687855	6319.707315141933	3	160	21	584	19	538	271223115	11777645	1.274178708952361	1.0089795786856317	1.6319328754695264	0.34956763586590806	0.012896975210264302	0.7065817177145426
K562_skew	(-Inf,-1.5)	Other cCREs	612	12640	612	12638	557.411	3480.055	1213.387305	4849.083213	605	12547	-297.34699930215737	403.4090039600856	1127.3099155677935	22528.73362667882	7	406	47	542	108	2769	271223115	11777645	0.8954693112451381	0.825669363791186	0.9726553036259331	-0.15928410463381512	-0.2763639194338361	-0.03999947164452292
K562_skew	(-Inf,-1.5)	PLS	61	4119	61	4119	32.861	909.173	49.062913	743.6379469999999	61	4115	30.51500046951702	13637.710995254229	501.99451311008494	90706.84019013269	11	2197	31	1601	34	3052	271223115	11777645	2.885636803284186	2.2462143258574434	3.7710602253030228	1.5288897284242142	1.167495591184411	1.9149701910662107
K562_skew	(-Inf,-1.5)	dELS	1581	36242	1581	36235	1367.553	9336.552	2847.191827	12849.669326	1577	36142	-606.8020015128423	15874.808994632103	4679.5709820113125	154087.47046535325	60	3838	191	3817	665	17938	271223115	11777645	0.9948304213320743	0.945954938795301	1.0468479009459442	-0.007477469887962415	-0.08015663344205627	0.06605184485594168
K562_skew	(-Inf,-1.5)	non-cCRE	3562	50423	3559	50395	4332.322	17920.627	9777.889246	29770.427817	3521	49753	-2233.065996946532	-6731.765963487095	6682.801055634089	54816.59540983155	5	506	212	2552	68	1507	271223115	11777645	0.6144783997431547	0.5939580701643399	0.6359072411188954	-0.7025657972774526	-0.751567005782373	-0.6531117578959112
K562_skew	(-Inf,-1.5)	pELS	209	6466	209	6465	136.247	1596.32	253.350151	1827.669894	209	6458	8.057001259061494	7741.556003420384	921.5874109066992	56009.15422892867	17	1442	66	1974	100	3807	271223115	11777645	1.3372713700588468	1.1654290715885067	1.541651505210311	0.4192922586338338	0.22086120422540909	0.6244766767139857
K562_skew	[-0.05,0.05)	Other cCREs	442512	10371626	442016	10365667	170406.2	1491159.179	287504.754634	1015157.6513950002	440039	10332098	-132856.75094321955	444649.57161251793	795779.3249620484	15570370.831947448	9050	338574	17363	292505	15745	369766	271223115	11777645	1.0184840747721915	1.0153519131252389	1.0216405521305496	0.026423422201880178	0.02197984103352144	0.03088769639888419
K562_skew	[-0.05,0.05)	PLS	14302	406810	14274	406372	3913.26	64909.502	4796.544898	38960.39257	14279	406527	-3694.389000174589	120943.3899185297	56725.15593649232	1785308.4734599278	871	45585	4973	127275	3943	124535	271223115	11777645	1.2354425238502655	1.2150079441030388	1.2562716592087353	0.3050278941268298	0.28096574665458773	0.32914846981487955
K562_skew	[-0.05,0.05)	dELS	986408	24554738	985997	24549906	375471.959	3690312.101999992	607005.976611	2763669.257152002	984812	24524128	-249110.4569289538	3251621.2849151813	2254334.775466517	53957300.61159999	31840	1331620	84340	1653615	93533	2270376	271223115	11777645	1.0890318461807602	1.0867537912982372	1.0913458059865468	0.12304614290264393	0.12002512867569434	0.1261083092999318
K562_skew	[-0.05,0.05)	non-cCRE	6907228	160814974	6900027	160752140	2540434.59	22130140.842999995	4271083.185094	13391823.57314118	6827617	159092802	-2469423.8861860977	-6115162.530754047	10414420.844036916	166914555.5044619	66373	2461537	190876	3352895	22565	538031	271223115	11777645	1.0270537404053472	1.0257936511263894	1.0282286496775548	0.03851167239403998	0.03674054728298789	0.04016111577303849
K562_skew	[-0.05,0.05)	pELS	129531	3444858	129423	3443026	41946.449	532089.385	59980.929157	370137.916987	129356	3442296	-34172.142972881666	431703.2378988363	306544.62353750895	7830763.91141395	4101	191002	30473	716103	15275	422775	271223115	11777645	1.156846175852247	1.150411840276831	1.1633039983232023	0.2101970441439713	0.2021504294823044	0.21822815576484947
K562_skew	[-0.2,-0.05)	Other cCREs	94608	1854371	94512	1853274	64240.008	350203.343	131898.721092	391834.398351	93980	1846188	-41890.05798920361	-18934.102750999184	186195.2280080768	2720578.837787424	1396	51889	4342	60930	4957	97164	271223115	11777645	0.8501068140303615	0.8445546125227703	0.855699014985517	-0.23428397082487148	-0.2437373779965308	-0.22482466502162676
K562_skew	[-0.2,-0.05)	PLS	6419	196039	6409	195892	2173.07	37511.127	2882.460106	25730.970795	6406	195903	-1057.0159976921282	111238.19995695878	28885.08806538049	1101888.5699319013	489	31297	2520	69634	2543	86329	271223115	11777645	1.32623425719499	1.2936377440734044	1.3597739732479435	0.4073356260116582	0.3714336776109266	0.44336686120020335
K562_skew	[-0.2,-0.05)	dELS	236965	5058930	236848	5057638	154596.282	1022562.042	302239.772054	1189182.363034	236584	5051863	-96257.85599947048	546413.8967364128	606632.8123725614	11708254.662542997	6697	278069	23390	398925	34899	732514	271223115	11777645	0.925688958081679	0.9218489247485736	0.9295326961549994	-0.11140058176388712	-0.11739775787119439	-0.10542248229660706
K562_skew	[-0.2,-0.05)	non-cCRE	992172	19351498	991389	19344257	646121.17	3408512.196999996	1339156.935808	3704884.816325003	982192	19151020	-478765.25162886153	-1040567.067322198	1757024.9454933205	21131359.738622792	8115	298916	35666	525283	6999	146526	271223115	11777645	0.8351943082920313	0.8334215170696523	0.8369789767800818	-0.25981621466878924	-0.26288174722396607	-0.2567367092396186
