skew_type	skew_bin	ccre_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	total	prop
HepG2_skew	[1.0,1.5)	non-cCRE	non-CpG transition	100785	100785	14136.006	2443.364964	100041	-22774.512979675783	131540.59184525703	922	4046	1066	168840	0.5969260838663824
HepG2_skew	[1.0,1.5)	non-cCRE	non-CpG transversion	62205	62205	3874.413	378.884745	61560	-8607.505972209037	74371.6989272701	764	2769	843	168840	0.3684257285003554
HepG2_skew	[1.0,1.5)	pELS	CpG transition	881	881	1169.84	2226.176374	881	-270.9059990977401	3901.133676290892	60	248	302	14189	0.062090351680879556
HepG2_skew	[1.0,1.5)	pELS	non-CpG transition	7336	7336	1044.082	185.311524	7332	1024.4289945691128	21997.931283496007	550	1920	1678	14189	0.5170202269363592
HepG2_skew	[1.0,1.5)	pELS	non-CpG transversion	5972	5972	458.799	61.920457	5961	1217.9020020011817	18234.703684480293	501	1650	1550	14189	0.4208894213827613
HepG2_skew	[1.5,Inf)	PLS	CpG transition	18	18	24.037999999999997	44.065418	18	4.314999699592591	109.32440093821003	2	4	9	635	0.028346456692913385
HepG2_skew	[1.5,Inf)	PLS	non-CpG transition	372	372	54.851	9.140487	372	184.7360011453276	1977.8437986284775	58	133	142	635	0.5858267716535434
HepG2_skew	[1.5,Inf)	PLS	non-CpG transversion	245	245	27.307	5.002905	245	129.011000697501	1262.8911128942273	37	84	90	635	0.3858267716535433
HepG2_skew	[1.5,Inf)	dELS	CpG transition	837	837	1651.842	3547.852428	837	-755.7330003888346	3735.1526272700653	22	108	268	21606	0.03873923910024993
HepG2_skew	[1.5,Inf)	dELS	non-CpG transition	13630	13630	1815.669	286.194331	13615	-1253.2869954894995	29611.076077483045	575	1182	2069	21606	0.6308432842728872
HepG2_skew	[1.5,Inf)	dELS	non-CpG transversion	7139	7139	462.128	48.733238	7125	-207.95499750529427	16915.516413790032	321	651	1214	21606	0.3304174766268629
HepG2_skew	[1.5,Inf)	non-cCRE	CpG transition	548	548	1191.387	2772.1365130000004	545	-617.9529980886726	1958.4976844575863	4	33	20	46261	0.011845831261753962
HepG2_skew	[1.5,Inf)	non-cCRE	non-CpG transition	31123	31123	4257.832	690.303494	30819	-8268.59899462527	42727.01683191073	260	1096	326	46261	0.6727697196342491
HepG2_skew	[1.5,Inf)	non-cCRE	non-CpG transversion	14590	14590	918.823	89.150967	14490	-1904.6979937339197	17044.77482175499	179	618	199	46261	0.3153844491039969
HepG2_skew	[1.5,Inf)	pELS	CpG transition	126	126	185.90800000000002	372.13938	126	-54.16299988795066	430.77423215740794	6	34	44	3887	0.03241574479032673
HepG2_skew	[1.5,Inf)	pELS	non-CpG transition	2261	2261	306.919	48.253289	2259	269.692003693199	6539.11159603349	182	573	500	3887	0.5816825315153075
HepG2_skew	[1.5,Inf)	pELS	non-CpG transversion	1500	1500	139.811	23.037503	1499	209.51399944990416	4473.680144827994	101	431	404	3887	0.3859017236943658
K562_skew	(-Inf,-1.5)	PLS	CpG transition	1733	1733	1617.867	2654.336471	1733	4268.876002929174	31854.259890049412	755	660	1245	7487	0.2314678776546013
K562_skew	(-Inf,-1.5)	PLS	non-CpG transition	2695	2695	462.325	94.929587	2694	8967.249996751083	58541.426279891435	1444	1036	1951	7487	0.35995725924936556
K562_skew	(-Inf,-1.5)	PLS	non-CpG transversion	3059	3059	229.519	26.467973	3055	9387.038989009685	61718.69110430852	1539	1182	2248	7487	0.40857486309603314
K562_skew	(-Inf,-1.5)	dELS	CpG transition	18411	18411	38014.479	87080.82856899999	18388	-13692.989002644785	71088.55601663658	614	2189	8479	77506	0.2375428999045235
K562_skew	(-Inf,-1.5)	dELS	non-CpG transition	32766	32766	5120.15	989.204828	32669	19543.573997444124	140398.14505031786	3719	3392	15957	77506	0.4227543674038139
