skew_type	skew_bin	ccre_class	cell_line	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci	frac_conserved	frac_conserved_se	frac_conserved_lci	frac_conserved_uci	skew_cell	matched
SKNSH_skew	[0.05,0.2)	non-cCRE	HepG2	59221030	59192793	9809476.543999985	7061976.270537979	58465408	-9095061.130920842	72851508.39471434	753225	1487219	306376	-0.15556311744067264	1.2218618837610213	1.4456446927956754e-4	-0.15584646380046058	-0.1552797710808847	0.012883259105965703	1.4748492679573372e-5	0.01285435206031374	0.012912166151617666	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	non-cCRE	K562	59221030	59192793	9809476.543999985	7061976.270537979	58465408	-9095061.130920842	72851508.39471434	753225	1487219	306376	-0.15556311744067264	1.2218618837610213	1.4456446927956754e-4	-0.15584646380046058	-0.1552797710808847	0.012883259105965703	1.4748492679573372e-5	0.01285435206031374	0.012912166151617666	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	non-cCRE	SK-N-SH	59221030	59192793	9809476.543999985	7061976.270537979	58465408	-9095061.130920842	72851508.39471434	753225	1487219	306376	-0.15556311744067264	1.2218618837610213	1.4456446927956754e-4	-0.15584646380046058	-0.1552797710808847	0.012883259105965703	1.4748492679573372e-5	0.01285435206031374	0.012912166151617666	SK-N-SH	Matched
SKNSH_skew	[0.05,0.2)	pELS	HepG2	189660	189627	27149.205	10590.668403	189553	39155.833978000075	811562.5020149319	18909	75827	70972	0.20656931822762012	4.23880575296205	0.004728859669942036	0.19730075327453372	0.2158378831807065	0.09975574113836236	6.883095557355197e-4	0.09840665440912073	0.10110482786760398	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	pELS	K562	357411	357372	51117.859	19875.356875	357071	56008.67000117448	1294073.0130761606	30287	139524	116953	0.1568558353973705	3.5995399399379133	0.0031750181222679023	0.1506327998777254	0.1630788709170156	0.0848206659179827	4.662583809383032e-4	0.08390679949134362	0.08573453234462176	SK-N-SH	Mismatched
SKNSH_skew	[0.05,0.2)	pELS	SK-N-SH	197782	197752	27767.196	8595.949864	197765	69778.10596897922	940298.4863449666	24565	83260	85711	0.3528334435768676	4.630157343751441	0.004838638291714558	0.34334971252510704	0.3623171746286281	0.12421308118221121	0.00074166567115308685	0.12275941646675116	0.12566674589767127	SK-N-SH	Matched
SKNSH_skew	[0.2,0.5)	Inactive cCRE	HepG2	3137479	3135625	641116.221	699705.961233	3127774	-152200.6928184499	7076273.335872899	136986	274405	391012	-0.04866102628209388	2.2600320080643663	8.500404888469752e-4	-0.05032710564023395	-0.046994946923953805	0.04379664259630012	1.1571185586221873e-4	0.04356984735881017	0.04402343783379006	SK-N-SH	Mismatched
SKNSH_skew	[0.2,0.5)	Inactive cCRE	K562	3030266	3028423	621467.049	683829.840289	3020696	-162481.42983957168	6777007.9882659735	129828	248540	358326	-0.05378940146230262	2.2406327714006755	8.612551494746347e-4	-0.0554774615552729	-0.05210134136933234	0.042979498764523144	1.1669111338304782e-4	0.04275078418229237	0.04320821334675392	SK-N-SH	Mismatched
SKNSH_skew	[0.2,0.5)	Inactive cCRE	SK-N-SH	3069292	3067481	626045.0109999999	687351.635543	3059475	-208648.9087846532	6576313.464575716	121464	249342	367413	-0.06819761847527867	2.144840618321691	8.37286441180382e-4	-0.06983869989999221	-0.06655653705056512	0.039700929080969775	1.1162979702587905e-4	0.039482134678799054	0.0399197234831405	SK-N-SH	Matched
SKNSH_skew	[0.2,0.5)	Other cCREs	HepG2	113710	113665	19981.124	16242.51857	113456	-842.7709954695289	345524.5301875674	7115	18965	37713	-0.007428174759109513	3.04542126779191	0.005180956598256865	-0.017582849691692968	0.0027265001734739407	0.06271153574954168	7.197747712162466e-4	0.06130077719795783	0.06412229430112552	SK-N-SH	Mismatched
SKNSH_skew	[0.2,0.5)	Other cCREs	K562	162375	162326	29871.578	25874.892662	162092	-2715.729976532865	465851.0404208176	9525	26572	50484	-0.016754250527680977	2.873728587030898	0.004210581555170264	-0.02500699037581469	-0.00850151067954726	0.058762924758778964	5.841446777293184e-4	0.0576180011904295	0.05990784832712843	SK-N-SH	Mismatched
SKNSH_skew	[0.2,0.5)	Other cCREs	SK-N-SH	192519	192440	37941.49	34098.277438	192357	23709.827995559797	743230.0559821626	17748	41731	56209	0.12325950184063901	3.8486327143146184	0.0044730034791781725	0.11449241502144979	0.13202658865982822	0.09226594301221167	6.598512287792589e-4	0.09097263460380432	0.09355925142061901	SK-N-SH	Matched
SKNSH_skew	[0.2,0.5)	PLS	HepG2	49506	49497	7045.839	2259.002391	49474	25871.981990480577	351858.2661661703	8874	21641	25741	0.5229409789077207	6.838654348387716	0.011757008016766886	0.4998972431948576	0.5459847146205838	0.17936694021101993	0.0017248732692608576	0.17598618860326865	0.1827476918187712	SK-N-SH	Mismatched
SKNSH_skew	[0.2,0.5)	PLS	K562	55294	55279	7986.22	2582.402886	55266	30020.66698695501	378184.72931772703	9900	23819	28535	0.5432031807432238	6.548039582418891	0.010884954842739184	0.521868669251455	0.5645376922349926	0.17913364455542286	0.0016311571062581503	0.1759365766271569	0.18233071248368882	SK-N-SH	Mismatched
