skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint	phyloP_mean	phyloP_var	phyloP_se	phyloP_lci	phyloP_uci
K562_skew	[-0.05,0.05)	non-cCRE	305015868	304842950	73334727.49099976	98642764.82331796	301308114	-30646600.691104185	347721360.498521	4329689	6547325	1045603	-0.10171183339292411	1.1436938591659094	6.160975490630136e-5	-0.10183258851254046	-0.10159107827330777
K562_skew	[-0.05,0.05)	pELS	6478899	6472736	1566094.934	1885002.942854	6472897	315874.7740591614	15306157.299600946	335693	1351678	800559	0.04879959839607542	2.3622722715587288	6.041094479676112e-4	0.04761554387805891	0.04998365291409194
K562_skew	[-0.2,-0.05)	Other cCREs	3794408	3791560	1671951.373	3139049.890951	3772614	-524460.6983037713	6266123.52639993	93182	133428	200357	-0.1390178529538859	1.6416245520447086	6.596532908251388e-4	-0.1403107734039032	-0.13772493250386864
K562_skew	[-0.2,-0.05)	PLS	380547	379857	100375.168	107643.703858	380193	176400.8299417423	2124506.6829153625	57250	134742	166344	0.46397705886679214	5.37270838065328	0.0037591925909305412	0.4566090413885683	0.471345076345016
K562_skew	[-0.2,-0.05)	dELS	10360293	10357149	4669737.991	8487382.283433	10344572	-480421.0374391456	25885073.795922637	504624	842515	1546921	-0.046441847709034804	2.5001290198758044	4.916147982124227e-4	-0.04740541271353115	-0.04547828270453846
K562_skew	[-0.2,-0.05)	non-cCRE	39462481	39443915	16633371.497999985	31445447.22477799	39022000	-7046441.370340482	51693912.50325221	532575	1130698	306589	-0.1805761204023495	1.2921299459300766	1.8196938760959867e-4	-0.1809327804020643	-0.18021946040263467
K562_skew	[-0.2,-0.05)	pELS	1651046	1649307	606714.95	929914.039806	1648952	105820.18400666212	4748026.639043344	107550	399041	351956	0.0641742051961865	2.8753041860194766	0.0013204984367745922	0.0615860282601083	0.0667623821322647
K562_skew	[-0.5,-0.2)	Other cCREs	934359	933555	469809.035	903384.778187	928710	-182896.8576934932	1580752.24997662	20084	37143	75379	-0.19693645776775656	1.6633123946097326	0.0013382795786901647	-0.19955948574198928	-0.19431342979352384
K562_skew	[-0.5,-0.2)	PLS	169681	169474	43476.009	43825.554171	169583	167486.6029719647	1284062.6366893414	38601	62322	89361	0.9876379293441246	6.5964932300434524	0.006236851500217722	0.9754137004036979	0.9998621582845514
K562_skew	[-0.5,-0.2)	dELS	2716152	2715064	1355131.443	2514826.199375	2711671	-190423.89301352415	7239456.212905698	137770	248153	594989	-0.07022381882371577	2.6648094790085115	9.913216338026895e-4	-0.07216680922596905	-0.06828082842146249
K562_skew	[-0.5,-0.2)	non-cCRE	6815161	6810573	3621842.435	7001261.180355	6749794	-1777047.1530565007	9667859.623764502	78462	250104	94444	-0.26327427963823796	1.3630060676913158	4.493695445162896e-4	-0.2641550439454899	-0.26239351533098604
