Term	Rank	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Dorsal/Ventral Pattern Formation (GO:0009953)	114	0.0582335495761615	0.151148370796347	0	0	17.7553418803419	50.483650593469	TLL1
Phospholipid Dephosphorylation (GO:0046839)	115	0.0603257310232136	0.151148370796347	0	0	17.09670781893	48.007496562747	PLPPR3
Pyroptotic Inflammatory Response (GO:0070269)	116	0.0603257310232136	0.151148370796347	0	0	17.09670781893	48.007496562747	GSDMA
Multivesicular Body Assembly (GO:0036258)	117	0.0603257310232136	0.151148370796347	0	0	17.09670781893	48.007496562747	STAM2
Regulation of Blood Coagulation (GO:0030193)	118	0.0603257310232136	0.151148370796347	0	0	17.09670781893	48.007496562747	EMILIN2
Regulation of Cholesterol Efflux (GO:0010874)	119	0.0603257310232136	0.151148370796347	0	0	17.09670781893	48.007496562747	PLA2G10
Regulation of Macrophage Activation (GO:0043030)	120	0.0624133900198005	0.151148370796347	0	0	16.485119047619	45.7293154126293	PLA2G10
Actin Filament Bundle Assembly (GO:0051017)	121	0.0624133900198005	0.151148370796347	0	0	16.485119047619	45.7293154126293	BAIAP2L1
Multivesicular Body Organization (GO:0036257)	122	0.0624133900198005	0.151148370796347	0	0	16.485119047619	45.7293154126293	STAM2
Response to Transforming Growth Factor Beta (GO:0071559)	123	0.0624133900198005	0.151148370796347	0	0	16.485119047619	45.7293154126293	WNT10A
Regulation of Neuronal Synaptic Plasticity (GO:0048168)	124	0.0624133900198005	0.151148370796347	0	0	16.485119047619	45.7293154126293	SHISA6
Regulation of Signal Transduction (GO:0009966)	125	0.0638568827191301	0.151148370796347	0	0	5.11211180124224	14.0639865351304	KIF26A;GNG4
Negative Regulation of Double-Strand Break Repair (GO:2000780)	126	0.0644965360727084	0.151148370796347	0	0	15.9157088122605	43.6272459113734	RMI2
Mesenchymal Cell Migration (GO:0090497)	127	0.0644965360727084	0.151148370796347	0	0	15.9157088122605	43.6272459113734	SEMA3A
Ub-dep Prot Cat Proc via Multivsiclr Bdy Sorting Pway (GO:0043162)	128	0.0644965360727084	0.151148370796347	0	0	15.9157088122605	43.6272459113734	STAM2
