skew_type	skew_bin	ccre_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
SKNSH_skew	(-Inf,-1.5)	pELS	7526	7526	4606.065	8658.309505	7522	6407.543999280896	60172.38939263826	1394	1977	3643
SKNSH_skew	[-0.05,0.05)	Other cCREs	17647528	17635234	4009740.9799999967	5087989.382529997	17574217	-213329.72164829067	27182141.338480905	535339	519702	640778
SKNSH_skew	[-0.05,0.05)	PLS	723426	718791	142947.585	122443.58502500001	722790	186770.84086882303	3312039.216223597	80971	230530	235105
SKNSH_skew	[-0.05,0.05)	dELS	40890266	40879118	9471455.802999994	11914490.935529009	40838301	3005433.1987817152	90925892.67191188	2077104	2792864	3867874
SKNSH_skew	[-0.05,0.05)	non-cCRE	273884378	273753758	59538225.78699942	73169139.36130258	270813641	-24663957.176988162	302122585.7116434	3839602	5827622	917578
SKNSH_skew	[-0.05,0.05)	pELS	5741840	5735965	1221571.708	1322744.032026	5736263	429319.88297736173	13316735.848564511	301232	1203651	734407
SKNSH_skew	[-0.2,-0.05)	Other cCREs	4866354	4861963	2580140.426	5068083.731752	4835062	-680737.8329848853	8493988.329400983	129546	169122	252837
SKNSH_skew	[-0.2,-0.05)	PLS	429616	428537	127460.311	151883.636553	429241	185582.03696268267	2357134.330203519	62736	149218	180216
SKNSH_skew	[-0.2,-0.05)	dELS	13577090	13573527	7316479.5	13805802.877354007	13554609	-772981.7994184522	34924983.988534115	678302	1102412	1960126
SKNSH_skew	[-0.2,-0.05)	non-cCRE	53541340	53504032	27722423.72999999	55450851.77569992	52789122	-9423160.390443616	74187208.31979115	819597	1506152	394688
SKNSH_skew	[-0.2,-0.05)	pELS	2112016	2110033	911757.125	1475733.3646190001	2109525	97893.2821047623	6051818.226945067	135149	502984	424964
SKNSH_skew	[-0.5,-0.2)	Other cCREs	886950	886025	504017.746	992093.682566	880414	-181296.76282331877	1584344.6437636742	20394	34986	77449
SKNSH_skew	[-0.5,-0.2)	PLS	154178	154039	40488.704	42998.532688	154073	155420.31997924455	1219024.615427454	35733	57115	79256
SKNSH_skew	[-0.5,-0.2)	dELS	2676537	2675486	1486100.287	2806141.939057	2670783	-159658.3581583878	7525635.851169992	146136	246464	604766
SKNSH_skew	[-0.5,-0.2)	non-cCRE	6578404	6566660	4330229.148	8756771.892154003	6487333	-2003378.0764236501	10194804.959266283	79541	241083	91853
SKNSH_skew	[-0.5,-0.2)	pELS	453282	452836	191730.057	303378.008657	452674	101208.3120392927	1716289.2910263487	43060	118077	137255
SKNSH_skew	[-1.0,-0.5)	Other cCREs	228365	228220	150813.556	307953.986292	226825	-53634.97493350938	435331.9108939395	5200	9101	27796
SKNSH_skew	[-1.0,-0.5)	PLS	52740	52722	14571.654	16417.455232	52700	93984.5869779447	642031.0212096518	18090	20106	30253
SKNSH_skew	[-1.0,-0.5)	dELS	701840	701697	443091.079	865115.228165	700413	-20363.732088073524	2290659.3849299094	45148	67741	214121
SKNSH_skew	[-1.0,-0.5)	non-cCRE	1222286	1220503	965227.591	2052359.711795	1207474	-442305.6943390965	2052872.5778958562	13744	51829	24614
SKNSH_skew	[-1.0,-0.5)	pELS	115061	114956	54750.084	90563.35383000001	114875	46757.190002118245	584561.0222397493	14697	30962	43252
SKNSH_skew	[-1.5,-1.0)	Other cCREs	47338	47326	33452.624	70780.052786	46928	-12617.245989823246	80903.08424932408	824	1945	6445
SKNSH_skew	[-1.5,-1.0)	PLS	14368	14363	4314.099	5264.051503	14358	35272.107987335294	235013.3393452744	6278	5697	8966
