skew_type	skew_bin	ccre_class	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[-0.05,0.05)	non-cCRE	COMMON	non-CpG-ti	3693198	3693198	570203.789	125304.136303	3658209	-1080405.7102343317	5012218.042627035	36909	98494	10633
HepG2_skew	[-0.05,0.05)	non-cCRE	COMMON	non-CpG-tv	2224868	2224868	175280.689	83781.167941	2196198	-613789.0424804176	3033239.222555455	23772	57876	7432
HepG2_skew	[-0.05,0.05)	non-cCRE	COMMON	unknown	6916	0	0	0	4870	-3027.2469975608383	9252.61260535016	10	208	119
HepG2_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	CpG	1014881	1014881	2307811.205	5530974.451387	998569	-852484.6474617982	2494133.2122036447	4088	28935	4841
HepG2_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	non-CpG-ti	4049140	4049140	649726.428	148886.82781	4000060	-493531.9992954507	4525535.417432691	50986	83470	12302
HepG2_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	non-CpG-tv	2451162	2451162	188854.975	74358.015951	2407908	-314869.1874527036	2888180.1867020736	32547	50317	8446
HepG2_skew	[-0.05,0.05)	non-cCRE	LOW_FREQ	unknown	9361	0	0	0	4989	-2062.197000223327	6002.379339616155	9	238	176
HepG2_skew	[-0.05,0.05)	non-cCRE	RARE	CpG	2957627	2957627	6752023.101	16206712.772855002	2909322	-2471074.660474566	7270878.822578853	12905	83253	13859
HepG2_skew	[-0.05,0.05)	non-cCRE	RARE	non-CpG-ti	9760893	9760893	1581707.0789999997	369572.561075	9635230	-1049302.9134597199	10848870.79212965	127362	203711	30097
HepG2_skew	[-0.05,0.05)	non-cCRE	RARE	non-CpG-tv	5973246	5973246	449057.358	153266.08938599998	5860550	-618856.1915600471	6867509.639804002	83161	124876	21272
HepG2_skew	[-0.05,0.05)	non-cCRE	RARE	unknown	22316	0	0	0	11251	-4149.559997961158	13887.89142334592	33	693	482
HepG2_skew	[-0.05,0.05)	non-cCRE	SINGLETON	CpG	2279805	2279805	4511409.215	9544561.254809	2267349	-1651541.0800537816	5205035.12511207	16450	92982	24344
HepG2_skew	[-0.05,0.05)	non-cCRE	SINGLETON	non-CpG-ti	91517739	91517739	13380056.239000062	2635869.3109510248	90698538	-2633932.023838165	91083506.2169779	1362571	1855414	281735
HepG2_skew	[-0.05,0.05)	non-cCRE	SINGLETON	non-CpG-tv	63761187	63761187	3615168.3399999794	399317.9652339996	62956480	-1690853.4626775926	65293700.709772535	1000109	1294018	210745
HepG2_skew	[-0.05,0.05)	non-cCRE	SINGLETON	unknown	60178	0	0	0	37953	-7616.978995953454	31951.707985187386	121	1773	1002
HepG2_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	CpG	10090702	10090702	21856208.345	49842321.847537	10011437	-8069257.597095146	24279746.87257276	53321	314312	59617
HepG2_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	non-CpG-ti	60807432	60807432	9738651.254000017	2208428.1912960093	60110757	-4981848.673913178	65200867.63170616	828682	1240584	185590
HepG2_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	non-CpG-tv	36792343	36792343	2405056.4909999953	418377.4990089998	36186989	-2188489.298347103	39198791.91200961	544495	761247	126158
HepG2_skew	[-0.05,0.05)	non-cCRE	ULTRARARE	unknown	63690	0	0	0	33678	-9398.604994499825	35742.16726965706	138	2440	1287
HepG2_skew	[-0.05,0.05)	pELS	COMMON	CpG	16476	16476	25577.976	49642.097558	16456	-14160.296980738643	55695.21808550503	239	3878	2371
HepG2_skew	[-0.05,0.05)	pELS	COMMON	non-CpG-ti	64898	64898	9219.382	1845.282548	64822	-10067.9309948592	140484.63745129787	2237	15016	7155
HepG2_skew	[-0.05,0.05)	pELS	COMMON	non-CpG-tv	40787	40787	2937.271	1038.4094969999999	40722	-7147.611991022017	91506.17201142026	1407	9887	5328
HepG2_skew	[-0.05,0.05)	pELS	COMMON	unknown	116	0	0	0	106	-38.31200014054776	175.79622250941682	1	15	18
HepG2_skew	[-0.05,0.05)	pELS	LOW_FREQ	CpG	22321	22321	37941.118	77304.937998	22281	-17483.70399584657	72286.37175701241	394	4621	3411
HepG2_skew	[-0.05,0.05)	pELS	LOW_FREQ	non-CpG-ti	74294	74294	11089.857	2325.306225	74189	2600.992000857369	168808.54519485455	3364	14849	8430
