skew_type	skew_bin	ccre_class	af_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved	n_tf_chip_peak	n_tf_footprint
HepG2_skew	[0.05,0.2)	Other cCREs	ULTRARARE	1527659	1526307	392047.976	482021.990796	1518881	-233793.35376382715	2590263.5857156306	36828	51434	67884
HepG2_skew	[0.05,0.2)	PLS	COMMON	5783	5767	1075.49	828.6894560000001	5771	-1755.717002143618	25205.378238688052	378	2194	1998
HepG2_skew	[0.05,0.2)	PLS	LOW_FREQ	6976	6965	1501.603	1422.142623	6970	86.79200147348439	31083.63912751953	664	2430	2486
HepG2_skew	[0.05,0.2)	PLS	RARE	18349	18047	4107.035	3978.947531	18323	1453.8179952398632	96919.17966769385	2029	6469	6613
HepG2_skew	[0.05,0.2)	PLS	SINGLETON	167634	167517	23530.045	10239.802995	167525	60500.15599244276	865338.3094748408	22572	57307	61129
HepG2_skew	[0.05,0.2)	PLS	ULTRARARE	115320	114709	23158.621	18822.410047	115235	26326.934954058142	622778.1467118448	14609	39991	42553
HepG2_skew	[0.05,0.2)	dELS	COMMON	246965	246859	63089.124	76634.159734	246605	-92033.72799663627	613751.3409577558	6873	24061	30094
HepG2_skew	[0.05,0.2)	dELS	LOW_FREQ	267896	267769	83047.55	116521.561218	267455	-52108.04999506055	655126.0433662805	10043	20876	32360
HepG2_skew	[0.05,0.2)	dELS	RARE	671358	671083	228141.44700000001	336662.22028300003	670164	-121222.41401201303	1701371.5914606065	26954	52654	81514
HepG2_skew	[0.05,0.2)	dELS	SINGLETON	6130469	6129329	829565.812	428282.080084	6122601	96096.14272855142	14033519.520945072	297049	467505	713238
HepG2_skew	[0.05,0.2)	dELS	ULTRARARE	4097796	4096840	1088014.699	1337791.851451	4091769	-449896.10329729936	10133256.211979652	180049	318023	486302
HepG2_skew	[0.05,0.2)	non-cCRE	COMMON	1063108	1062187	264669.057	332102.178717	1051618	-468519.0397600776	1850942.2845411277	9041	37269	5962
HepG2_skew	[0.05,0.2)	non-cCRE	LOW_FREQ	1164002	1162840	340507.236	492241.261642	1147292	-295120.5797081045	1637755.764316028	12602	31968	6477
HepG2_skew	[0.05,0.2)	non-cCRE	RARE	2856914	2853872	924510.791	1422968.796165	2813645	-697448.4303120192	4015950.687685535	32150	80265	16194
HepG2_skew	[0.05,0.2)	non-cCRE	SINGLETON	25273917	25264848	3283027.3559999918	1431716.2588180008	25006698	-2420962.5549919866	28723166.247611236	345353	667440	142343
HepG2_skew	[0.05,0.2)	non-cCRE	ULTRARARE	16970154	16960847	4041189.520999997	4736959.207236998	16749636	-3103371.3226884296	22012880.235582594	208607	462180	96844
HepG2_skew	[0.05,0.2)	pELS	COMMON	35064	35040	7653.487	7906.619885	35007	-11633.346994421674	91791.87494370039	1116	9153	5656
HepG2_skew	[0.05,0.2)	pELS	LOW_FREQ	39316	39274	10088.264	11921.085352	39221	-5863.64899700205	106074.12986366214	1713	8858	6488
HepG2_skew	[0.05,0.2)	pELS	RARE	100053	99881	27488.641	34176.827369	99858	-10768.594006457019	280103.9889858628	4922	23156	16482
HepG2_skew	[0.05,0.2)	pELS	SINGLETON	937237	936791	126447.792	60238.309242	936478	79345.14603991131	2410379.008389759	56701	217023	153898
HepG2_skew	[0.05,0.2)	pELS	ULTRARARE	624133	623332	143288.8	149729.760308	623385	-16091.490015285086	1718408.2178630598	34790	144880	103333
