vep_consequence	af_class	mut_class	n	n_MR	sum_MR	sum_MR_sq	n_phyloP	sum_phyloP	sum_phyloP_sq	n_conserved
intron variant	LOW_FREQ	unknown	5460	0	0	0	4901	-2043.6089998943494	6384.285432638687	14
intron variant	RARE	CpG	4081450	4081450	9052199.809	21244304.951343	4062076	-3541110.678107999	11512630.299778583	31327
intron variant	RARE	non-CpG-ti	10183175	10183175	1651760.6989999998	402808.65421300003	10153525	-894722.8690411152	14700347.369228607	216928
intron variant	RARE	non-CpG-tv	6412865	6412865	461439.831	139445.755591	6385935	-408872.04986635543	9155808.503788764	145700
intron variant	RARE	unknown	13605	0	0	0	12190	-4254.666994110797	15125.194655018639	54
intron variant	SINGLETON	CpG	3702527	3702527	6966893.045	14471784.531461002	3694302	-2651271.654705526	10143153.72248539	57069
intron variant	SINGLETON	non-CpG-ti	96341462	96341462	13943320.88700006	2772234.6048850277	96147191	753941.8662354243	126653174.03708027	2352106
intron variant	SINGLETON	non-CpG-tv	69108924	69108924	3825826.5059999796	400076.961483999	68919693	1126884.631527481	93170423.26733044	1774732
intron variant	SINGLETON	unknown	43380	0	0	0	39968	-7080.100996081717	37385.998279533735	257
intron variant	ULTRARARE	CpG	14945683	14945683	31509833.489	70617079.71470298	14902598	-12323332.794734841	41694340.29068495	143559
intron variant	ULTRARARE	non-CpG-ti	63788147	63788147	10197859.325000018	2388697.3113450115	63636645	-3607442.74024297	89934064.94876233	1439966
intron variant	ULTRARARE	non-CpG-tv	39750516	39750516	2513525.950999995	402199.1085649997	39617482	-708189.7053100832	54977188.10933519	974055
intron variant	ULTRARARE	unknown	40528	0	0	0	36715	-7511.658984440144	45965.775293564715	421
mature miRNA variant	COMMON	CpG	47	47	82.688	178.164378	47	-45.779999613761895	136.92128907988135	0
mature miRNA variant	COMMON	non-CpG-ti	82	82	11.808	2.2207660000000002	80	-12.605999324470764	235.6573573674251	4
mature miRNA variant	COMMON	non-CpG-tv	47	47	3.617	0.631467	41	-9.188000171445315	157.85945956593764	2
mature miRNA variant	LOW_FREQ	CpG	50	50	101.232	226.645724	49	-30.23400075407706	447.3093629895195	4
mature miRNA variant	LOW_FREQ	non-CpG-ti	110	110	16.362000000000002	3.292864	107	6.584999460726988	463.9755258739176	7
mature miRNA variant	LOW_FREQ	non-CpG-tv	56	56	3.855	0.6526310000000001	55	33.41300020553173	440.16800797569084	8
mature miRNA variant	LOW_FREQ	unknown	1	0	0	0	1	-1.36800003051758	1.87142408349609	0
mature miRNA variant	RARE	CpG	165	165	342.948	772.506898	165	-115.72900035977362	1183.6540107249791	15
mature miRNA variant	RARE	non-CpG-ti	273	273	41.674	8.402924	270	172.31699970085168	2085.354581301393	38
mature miRNA variant	RARE	non-CpG-tv	170	170	11.243	1.789419	164	55.90399964246908	689.9069294937905	15
mature miRNA variant	RARE	unknown	11	0	0	0	11	-10.7900003790855	73.4391296758186	0
mature miRNA variant	SINGLETON	CpG	370	370	536.397	1034.274783	370	509.10400008968986	5671.453435471106	102
mature miRNA variant	SINGLETON	non-CpG-ti	2876	2876	412.263	76.272173	2870	3395.661985381856	27861.466553631977	619
