skew_type	skew_bin	ccre_class	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
SKNSH_skew	[-1.5,-1.0)	non-cCRE	234	6186	3204935	25747115	3.277749873431729	2.877047725095434	3.7500122558381133	1.7127057659297926	1.5245891530158282	1.906895310650645
SKNSH_skew	[-1.5,-1.0)	pELS	28	892	3204935	25747115	3.833147930990189	2.650115513802139	5.7569276167385945	1.938529676507251	1.4060552455465665	2.5252990730102662
SKNSH_skew	[0.05,0.2)	Other cCREs	20259	217091	3204935	25747115	1.3366506842691046	1.3175239012634332	1.3562065025802348	0.4186224856870532	0.3978291340988863	0.43957686694467957
SKNSH_skew	[0.05,0.2)	PLS	1370	18262	3204935	25747115	1.6586229897564875	1.5699283917084927	1.7535531169506064	0.7299859944189606	0.6506987557518735	0.8102811319882678
SKNSH_skew	[0.05,0.2)	dELS	43178	554381	3204935	25747115	1.6113484664326851	1.595558517277113	1.6273800029414447	0.6882685216240857	0.6740615205804807	0.7025511682488343
SKNSH_skew	[0.05,0.2)	non-cCRE	257510	2654937	3204935	25747115	1.3159383192611287	1.310402491808552	1.3215043589045443	0.39609186857046025	0.3900100054648977	0.40218118363222477
SKNSH_skew	[0.05,0.2)	pELS	7516	96572	3204935	25747115	1.6014525130110824	1.564233952743835	1.6397280542328236	0.6793810193057644	0.6454563037076096	0.7134565664641594
SKNSH_skew	[0.2,0.5)	Other cCREs	1870	34521	3204935	25747115	2.298488867497479	2.193896972207337	2.4093052885930297	1.2006856786215108	1.1334957768005463	1.2686172123532826
SKNSH_skew	[0.2,0.5)	PLS	293	5635	3204935	25747115	2.3865471698243086	2.122111869999499	2.6925252578929944	1.2549248513698312	1.0855007118791469	1.4289598783873292
SKNSH_skew	[0.2,0.5)	dELS	4884	100314	3204935	25747115	2.562272857114225	2.4898293037052066	2.6377194205144407	1.3574241168368173	1.316046838221319	1.3992911103965757
SKNSH_skew	[0.2,0.5)	non-cCRE	15195	305792	3204935	25747115	2.522982901667241	2.4822168229303667	2.564669789404595	1.3351304291586583	1.3116291411346528	1.3587730855376687
SKNSH_skew	[0.2,0.5)	pELS	985	19957	3204935	25747115	2.520776647388277	2.364480007605267	2.690069598548128	1.3338682943248101	1.2415229434236834	1.4276434992433529
SKNSH_skew	[0.5,1.0)	Other cCREs	288	6340	3204935	25747115	2.731610697624331	2.427412138719886	3.0840579289815744	1.449751888962198	1.2794190775900525	1.6248298641730305
SKNSH_skew	[0.5,1.0)	PLS	48	1238	3204935	25747115	3.1476071646215726	2.365684878096042	4.277915314500116	1.6542554973203638	1.2422579117647674	2.09690792323227
