skew_type	skew_bin_coarse	ccre_class	indel_type	indel_len_coarse	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
HepG2_skew	[-0.5,-0.2)	Other cCREs	Insertion	5-9 bp	127	1937	3204935	25747115	1.8847326595940543	1.5754030123119078	2.271910030000839	0.9143598985439172	0.6557209393991462	1.1839057037503073
HepG2_skew	[-0.5,-0.2)	Other cCREs	Insertion	10+ bp	562	4878	3204935	25747115	1.0787537305966457	0.9884007098767146	1.179165120832081	0.10936554860837766	-0.016832048066023154	0.2377657559136655
HepG2_skew	[-0.2,-0.05)	PLS	Deletion	1 bp	376	6466	3204935	25747115	2.135554634532167	1.9245507478327342	2.3755836716286995	1.0946108073503942	0.9445217135916406	1.2482820215321382
HepG2_skew	[-0.2,-0.05)	PLS	Deletion	2-4 bp	132	2189	3204935	25747115	2.0497550502373945	1.7199623957295387	2.4605434508320214	1.0354515151345232	0.7823770230159963	1.2989769933005606
HepG2_skew	[-0.2,-0.05)	PLS	Deletion	5-9 bp	72	971	3204935	25747115	1.6574505761037808	1.3057538362750305	2.1325323959459044	0.7289658509272594	0.38488294232156733	1.0925676581276207
HepG2_skew	[-0.2,-0.05)	PLS	Deletion	10+ bp	87	969	3204935	25747115	1.3720901150812197	1.102281049892539	1.726684836818114	0.4563752368397265	0.1404921164592746	0.7880047789567685
HepG2_skew	[-0.2,-0.05)	PLS	Insertion	1 bp	127	2871	3204935	25747115	2.793165347616702	2.339372861032646	3.360827919884627	1.4819009796779647	1.2261218240212008	1.7488166760929185
HepG2_skew	[-0.2,-0.05)	PLS	Insertion	2-4 bp	250	2723	3204935	25747115	1.3509291388457028	1.1866947662987068	1.5435638149647941	0.4339520020381019	0.2469489023130698	0.626265128971892
HepG2_skew	[-0.2,-0.05)	PLS	Insertion	5-9 bp	205	2332	3204935	25747115	1.4097747816082808	1.2220929836305006	1.6336122235103432	0.4954647034684935	0.2893540575945736	0.7080655663404591
HepG2_skew	[-0.2,-0.05)	PLS	Insertion	10+ bp	139	1962	3204935	25747115	1.7454083643550287	1.469811714476	2.087054740162977	0.8035646159792469	0.555631355068647	1.0614684406156116
HepG2_skew	[-0.2,-0.05)	pELS	Deletion	1 bp	2754	35903	3204935	25747115	1.6230969816092353	1.5612738686706724	1.6878647482018145	0.6987492048807047	0.6427236278457793	0.7551993027913916
HepG2_skew	[-0.2,-0.05)	pELS	Deletion	2-4 bp	1077	17401	3204935	25747115	2.010103897985822	1.8899742044537513	2.13956642318655	1.0072700731629152	0.9183665437793552	1.097318468358138
HepG2_skew	[-0.2,-0.05)	pELS	Deletion	5-9 bp	530	6015	3204935	25747115	1.4103717926141754	1.2903958754615472	1.544181394712211	0.49607552620962286	0.36781373227584485	0.6268422356891434
HepG2_skew	[-0.2,-0.05)	pELS	Deletion	10+ bp	548	4070	3204935	25747115	0.922999326559069	0.8441101800318327	1.0108820181325313	-0.11559849963846439	-0.24449677153433272	0.015614627520262795
HepG2_skew	[-0.2,-0.05)	pELS	Insertion	1 bp	557	11406	3204935	25747115	2.545336397197404	2.337588197073339	2.7760822595540295	1.347856338617934	1.2250207988312434	1.4730503178053596
HepG2_skew	[-0.2,-0.05)	pELS	Insertion	2-4 bp	1102	11216	3204935	25747115	1.2659614747271244	1.1899379333800544	1.347988300921385	0.34023350187066476	0.2508863251802558	0.43080797554355277
HepG2_skew	[-0.2,-0.05)	pELS	Insertion	5-9 bp	823	7732	3204935	25747115	1.1682653537456433	1.0871379060838613	1.2567404562884368	0.22436799772241428	0.120534961343795	0.3296867332205697
HepG2_skew	[-0.2,-0.05)	pELS	Insertion	10+ bp	826	6340	3204935	25747115	0.954405459542622	0.8875180129516352	1.027386130983275	-0.0673257990959039	-0.1721516943322265	0.038978503523319705
HepG2_skew	[-0.2,-0.05)	dELS	Deletion	1 bp	17405	240690	3204935	25747115	1.728086041118563	1.7016252577533642	1.7550750893569862	0.7891750508374803	0.7669133529417128	0.811532756299346
