skew_type	skew_bin_coarse	ccre_class	indel_type	COMMON	SINGLETON	gw_COMMON	gw_SINGLETON	odds	lci	uci	log2odds	log2lci	log2uci
K562_skew	[0.05,0.2)	PLS	Deletion	535	10613	3204935	25747115	2.465538845722101	2.260401841688461	2.6939651106487914	1.3019029833558213	1.1765792697542132	1.429731166679983
K562_skew	[0.05,0.2)	PLS	Insertion	890	6943	3204935	25747115	0.9701009574370794	0.9045999555153287	1.041341287034586	-0.04379319994359077	-0.14464816986410972	0.05844297201756961
K562_skew	[0.05,0.2)	pELS	Deletion	2949	56235	3204935	25747115	2.375927779896898	2.2894476783102657	2.4664461933854214	1.2484909837951956	1.1949995948848646	1.3024338146453014
K562_skew	[0.05,0.2)	pELS	Insertion	6095	34061	3204935	25747115	0.6951304050264121	0.6764193954132199	0.7144763304306149	-0.5246444450555781	-0.5640100672132445	-0.4850418771785899
K562_skew	[0.05,0.2)	dELS	Deletion	16224	320193	3204935	25747115	2.4748582514874453	2.4359416198243635	2.5144084319117397	1.3073458966134954	1.284479557793038	1.3302190152451874
K562_skew	[0.05,0.2)	dELS	Insertion	35714	192690	3204935	25747115	0.6691132347009036	0.6615278327921658	0.6767630608186096	-0.5796777146370439	-0.59612623787471	-0.5632772696744394
K562_skew	[0.05,0.2)	non-cCRE	Deletion	93979	1378494	3204935	25747115	1.872541202031011	1.8600847725278764	1.8851593931320114	0.904997463042825	0.8953683730099864	0.9146865107402404
K562_skew	[0.05,0.2)	non-cCRE	Insertion	239487	1097452	3204935	25747115	0.5513042718662805	0.548765791534575	0.5538382035912136	-0.8590793144697281	-0.8657375439918614	-0.8524635210839323
K562_skew	[0.05,0.2)	Other cCREs	Deletion	7878	121700	3204935	25747115	1.92709132410495	1.8836870435503135	1.9717525500369106	0.9464249420080078	0.9135592949814039	0.9794785084933828
K562_skew	[0.05,0.2)	Other cCREs	Insertion	16844	79629	3204935	25747115	0.5871576333363835	0.5774730753526456	0.5970688483007681	-0.7681802213598413	-0.7921744123599705	-0.7440307959347304
K562_skew	[0.2,0.5)	PLS	Deletion	155	3630	3204935	25747115	2.8975626032272523	2.4678266320315125	3.423439301425487	1.534839831685524	1.303241046880482	1.775446433254132
