skew_type	skew_bin	ccre_class	indel_class	n
HepG2_skew	[-1.0,-0.5)	PLS	del_10plus	655
HepG2_skew	[-1.0,-0.5)	PLS	del_2	170
HepG2_skew	[-1.0,-0.5)	PLS	del_3	135
HepG2_skew	[-1.0,-0.5)	PLS	del_4	115
HepG2_skew	[-1.0,-0.5)	PLS	del_5	67
HepG2_skew	[-1.0,-0.5)	PLS	del_6	90
HepG2_skew	[-1.0,-0.5)	PLS	del_7	58
HepG2_skew	[-1.0,-0.5)	PLS	del_8	46
HepG2_skew	[-1.0,-0.5)	PLS	del_9	55
HepG2_skew	[-1.0,-0.5)	PLS	ins_1	372
HepG2_skew	[-1.0,-0.5)	PLS	ins_10plus	182
